record_type,name,version_or_range,license,scope,sources
lockfile,@acemir/cssom,0.9.31,MIT,development,package-lock.json
lockfile,@adobe/css-tools,4.4.4,MIT,development,package-lock.json
lockfile,@ai-sdk/gateway,2.0.27,Apache-2.0,development,package-lock.json
lockfile,@ai-sdk/openai-compatible,0.2.14,Apache-2.0,development,package-lock.json
lockfile,@ai-sdk/provider,1.1.3,Apache-2.0,development,package-lock.json
lockfile,@ai-sdk/provider,2.0.1,Apache-2.0,development,package-lock.json
lockfile,@ai-sdk/provider-utils,2.2.8,Apache-2.0,development,package-lock.json
lockfile,@ai-sdk/provider-utils,3.0.20,Apache-2.0,development,package-lock.json
lockfile,@alloc/quick-lru,5.2.0,MIT,development,package-lock.json
lockfile,@antfu/install-pkg,1.1.0,MIT,development,package-lock.json
lockfile,@asamuzakjp/css-color,4.1.1,MIT,development,package-lock.json
lockfile,@asamuzakjp/dom-selector,6.7.6,MIT,development,package-lock.json
lockfile,@asamuzakjp/nwsapi,2.3.9,MIT,development,package-lock.json
lockfile,@aws-crypto/sha256-browser,5.2.0,Apache-2.0,development,package-lock.json
lockfile,@aws-crypto/sha256-js,5.2.0,Apache-2.0,development,package-lock.json
lockfile,@aws-crypto/supports-web-crypto,5.2.0,Apache-2.0,development,package-lock.json
lockfile,@aws-crypto/util,5.2.0,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/client-cognito-identity,3.980.0,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/client-cognito-identity,3.987.0,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/client-sagemaker,3.987.0,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/client-sso,3.985.0,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/core,3.973.7,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/credential-provider-cognito-identity,3.972.3,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/credential-provider-env,3.972.5,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/credential-provider-http,3.972.7,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/credential-provider-ini,3.972.5,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/credential-provider-login,3.972.5,Apache-2.0,development,package-lock.json
lockfile,@aws-sdk/credential-provider-node,3.972.6,Apache-2.0,development,package-lock.json
